Iteration No.,Under-sampling,Data-split,Modeling,Accuracy,Precision,Recall,F1-score
1,43,43,43,0.9449954914337241,0.9491371248804437,0.9449954914337241,0.9434747828745259
2,43,43,42,0.9449954914337241,0.9491371248804437,0.9449954914337241,0.9434747828745259
3,43,43,40,0.9449954914337241,0.9491371248804437,0.9449954914337241,0.9434747828745259
4,43,43,38,0.9449954914337241,0.9491371248804437,0.9449954914337241,0.9434747828745259
5,43,42,42,0.9274120829576195,0.9345150459959775,0.9274120829576195,0.9247947585496109
6,43,42,41,0.9274120829576195,0.9345150459959775,0.9274120829576195,0.9247947585496109
7,43,42,39,0.9274120829576195,0.9345150459959775,0.9274120829576195,0.9247947585496109
8,43,42,38,0.9274120829576195,0.9345150459959775,0.9274120829576195,0.9247947585496109
9,43,42,37,0.9274120829576195,0.9345150459959775,0.9274120829576195,0.9247947585496109
10,43,41,43,0.9368800721370604,0.9424937592796797,0.9368800721370604,0.9350187591938721
11,43,41,42,0.9368800721370604,0.9424937592796797,0.9368800721370604,0.9350187591938721
12,43,41,39,0.8250676284941388,0.8446654910490649,0.8250676284941388,0.8232565931390177
13,43,41,38,0.8250676284941388,0.8446654910490649,0.8250676284941388,0.8232565931390177
14,43,40,43,0.9328223624887286,0.9389572059043638,0.9328223624887286,0.9305831277110229
15,43,40,42,0.9328223624887286,0.9389572059043638,0.9328223624887286,0.9305831277110229
16,42,42,42,0.9274120829576195,0.9345151243354547,0.9274120829576195,0.9247879486188861
17,42,42,41,0.8214607754733995,0.8411017308606333,0.8214607754733995,0.8197532253710125
18,42,42,39,0.8214607754733995,0.8411017308606333,0.8214607754733995,0.8197532253710125
19,42,42,37,0.9274120829576195,0.9345151243354547,0.9274120829576195,0.9247879486188861
20,42,41,41,0.9224526600541028,0.9306474760072124,0.9224526600541028,0.9196170696339284
21,42,40,42,0.933273219116321,0.9394532025624975,0.933273219116321,0.9313357556049404
22,42,40,40,0.8101893597835889,0.8329208780109595,0.8101893597835889,0.8086483841081671
23,42,40,39,0.933273219116321,0.9394532025624975,0.933273219116321,0.9313357556049404
24,42,40,37,0.8101893597835889,0.8329208780109595,0.8101893597835889,0.8086483841081671
25,41,42,40,0.9328223624887286,0.9389186104893836,0.9328223624887286,0.9305003053547267
26,41,42,39,0.8327321911632101,0.8505987442654297,0.8327321911632101,0.8307653379580452
27,41,42,38,0.8327321911632101,0.8505987442654297,0.8327321911632101,0.8307653379580452
28,41,42,37,0.9328223624887286,0.9389186104893836,0.9328223624887286,0.9305003053547267
29,41,41,42,0.9274120829576195,0.9347402218771388,0.9274120829576195,0.925170903251177
30,41,41,41,0.89404869251578,0.9097283507774284,0.89404869251578,0.8889160107018358
31,41,41,40,0.9274120829576195,0.9347402218771388,0.9274120829576195,0.925170903251177
32,41,41,39,0.9274120829576195,0.9347402218771388,0.9274120829576195,0.925170903251177
33,41,41,38,0.9274120829576195,0.9347402218771388,0.9274120829576195,0.925170903251177
34,41,40,42,0.9283137962128043,0.9353547092586487,0.9283137962128043,0.9259529058259129
35,41,40,40,0.8106402164111812,0.8339178128409691,0.8106402164111812,0.8088775912066837
35,41,40,38,0.9283137962128043,0.9353547092586487,0.9283137962128043,0.9259529058259129
35,41,40,37,0.9283137962128043,0.9353547092586487,0.9283137962128043,0.9259529058259129
35,40,42,42,0.9319206492335438,0.9382802364349543,0.9319206492335438,0.9297895143262546
35,40,42,41,0.9319206492335438,0.9382802364349543,0.9319206492335438,0.9297895143262546
35,40,42,40,0.9319206492335438,0.9382802364349543,0.9319206492335438,0.9297895143262546
35,40,42,39,0.9319206492335438,0.9382802364349543,0.9319206492335438,0.9297895143262546
35,40,42,38,0.9319206492335438,0.9382802364349543,0.9319206492335438,0.9297895143262546
35,40,42,37,0.9319206492335438,0.9382802364349543,0.9319206492335438,0.9297895143262546
35,40,41,41,0.9274120829576195,0.9345257928186044,0.9274120829576195,0.9248250019950274
35,40,41,40,0.9274120829576195,0.9345257928186044,0.9274120829576195,0.9248250019950274
35,40,40,42,0.9377817853922452,0.9429434008862001,0.9377817853922452,0.9356770777414671
35,40,40,41,0.8133453561767358,0.8343339070510905,0.8133453561767358,0.8101834594904715
35,40,40,38,0.8133453561767358,0.8343339070510905,0.8133453561767358,0.8101834594904715
35,40,40,37,0.9377817853922452,0.9429434008862001,0.9377817853922452,0.9356770777414671
